case_year	case_status	emp_name	emp_city	emp_state	emp_zip	emp_country	job_title	soc_code	soc_name	full_time_position	prevailing_wage	pw_unit	pw_level	wage_from	wage_to	wage_unit	work_city	work_state	emp_h1b_dependent	emp_willful_violator	lat	lng	processing_time
2016	C	CUMMINS INC.	NASHVILLE	TN	37214	USA	MANUFACTURING SHOP OPERATIONS TEAM MANAGER - SENIOR	Nov-51	INDUSTRIAL PRODUCTION MANAGERS		90501	Y		90501	97500	Y	FRIDLEY	MN	N	N	45.086075	-93.26328	5
2013	C	LARSEN & TOUBRO INFOTECH LIMITED	EDISON	NJ	8817		COMPUTER SYSTEM ENGINEER	15-1799	COMPUTER OCCUPATIONS, ALL OTHER	Y	53872	Y		55170		Y	CUPERTINO	CA			37.322998	-122.03218	6
2016	C	HCL AMERICA, INC.	SUNNYVALE	CA	94085	USA	USER SUPPORT SPECIALISTS - IV	15-1151	COMPUTER USER SUPPORT SPECIALISTS		53706	Y		53706	87000	Y	COLUMBUS	IN	Y	N	39.20144	-85.92138	6
2016	C	AMAZON CORPORATE LLC	SEATTLE	WA	98109	USA	QUALITY MANAGER	15-1133	SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE		115814	Y		135500	0	Y	SEATTLE	WA	N	N	47.60621	-122.33207	6
2015	C	PRODEW, INC.	MARIETTA	GA	30062	USA	GRAPHIC DESIGNER	27-1024	GRAPHIC DESIGNERS	Y	30243	Y	Level I	30243		Y	MARIETTA	GA	N	N	33.952602	-84.549934	6
2015	D	ADVANTAGE IT INC	ASHBURN	VA	20147	USA	SYSTEMS ADMINISTRATOR	15-1142	NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS	Y	65187	Y	Level II	65000		Y	MIAMI	FL	Y	N	25.774265	-80.19366	9
2015	C	MICRON TECHNOLOGY, INC.	BOISE	ID	83716	USA	DRAM TEST ENGINEER	17-2072	ELECTRONICS ENGINEERS, EXCEPT COMPUTER	Y	65582	Y	Level I	89500		Y	BOISE	ID	N	N	43.6135	-116.20345	6
2014	C	TRACE INTERNATIONAL, INC.	ANNAPOLIS	MD	21401		DUE DILIGENCE ASSOCIATE	19-4061.00	SOCIAL SCIENCE RESEARCH ASSISTANTS	Y	35194	Y		44000		Y	ANNAPOLIS	MD			38.978447	-76.49218	6
2011	C	DANA-FARBER CANCER INSTITUTE	BOSTON	MA	2215		RESEARCH FELLOW/ASSOCIATE	19-1042	MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS	Y	48256	Y		54204		Y	BOSTON	MA			42.35843	-71.05978	6
2012	C	ACCENTURE LLP	CHICAGO	IL	60601		COMPUTER SPECIALISIT/SYSTEM SUPPORT AND DEVELOPMEN	15-1799	COMPUTER OCCUPATIONS, ALL OTHER*	Y	74277	Y		74300		Y	CHICAGO	IL			41.850033	-87.650055	6
