country,visa_type,processing_office,month,processing_time
UK,Work,Delhi,3,33
Canada,Tourist,Delhi,12,51
India,Student,Delhi,3,22
UK,Student,Mumbai,11,42
UK,Student,Delhi,10,19
Canada,Student,Mumbai,5,31
India,Student,Delhi,5,50
India,Student,Chennai,6,33
UK,Student,Mumbai,8,78
USA,Work,Chennai,10,25
UK,Tourist,Mumbai,6,68
UK,Student,Chennai,12,59
UK,Work,Delhi,1,61
UK,Work,Delhi,8,26
Canada,Tourist,Delhi,8,35
India,Student,Mumbai,9,25
Canada,Tourist,Chennai,9,19
Canada,Student,Delhi,2,70
Canada,Work,Chennai,2,34
UK,Work,Chennai,3,55
USA,Work,Delhi,1,60
India,Work,Delhi,4,26
USA,Tourist,Chennai,4,84
Canada,Student,Delhi,9,31
Canada,Student,Delhi,9,33
USA,Tourist,Delhi,9,40
USA,Student,Mumbai,10,62
USA,Work,Chennai,7,66
Canada,Student,Chennai,2,84
Canada,Work,Mumbai,10,69
India,Tourist,Chennai,5,89
India,Student,Delhi,4,47
Canada,Tourist,Chennai,12,76
USA,Student,Delhi,11,37
USA,Work,Mumbai,8,29
India,Tourist,Delhi,2,41
Canada,Student,Chennai,6,89
India,Work,Chennai,5,78
India,Tourist,Chennai,12,65
UK,Tourist,Mumbai,2,67
UK,Student,Mumbai,11,65
UK,Student,Chennai,10,61
USA,Student,Delhi,1,18
Canada,Work,Mumbai,8,21
Canada,Student,Chennai,2,49
Canada,Tourist,Chennai,7,62
Canada,Tourist,Mumbai,9,87
UK,Student,Mumbai,9,86
USA,Student,Mumbai,8,59
USA,Tourist,Delhi,11,86
UK,Work,Delhi,12,33
USA,Student,Chennai,10,77
UK,Student,Mumbai,9,52
Canada,Tourist,Delhi,2,81
UK,Student,Mumbai,6,73
Canada,Work,Chennai,4,83
Canada,Tourist,Delhi,4,27
India,Student,Delhi,5,61
UK,Tourist,Delhi,12,75
India,Student,Chennai,3,45
UK,Student,Mumbai,1,36
UK,Student,Delhi,8,57
India,Work,Chennai,5,81
India,Work,Mumbai,3,68
UK,Tourist,Chennai,10,24
USA,Student,Mumbai,7,56
Canada,Student,Chennai,7,78
India,Work,Mumbai,1,35
Canada,Student,Delhi,12,80
USA,Work,Mumbai,9,55
USA,Student,Chennai,2,38
USA,Tourist,Chennai,5,49
India,Student,Mumbai,5,70
USA,Student,Delhi,8,44
India,Work,Delhi,8,71
USA,Student,Mumbai,7,61
Canada,Student,Mumbai,7,49
Canada,Work,Chennai,12,33
UK,Tourist,Delhi,11,22
Canada,Tourist,Mumbai,6,40
UK,Work,Delhi,6,85
Canada,Work,Mumbai,11,44
India,Work,Mumbai,9,21
Canada,Work,Delhi,6,81
UK,Work,Mumbai,12,79
UK,Tourist,Mumbai,2,50
USA,Tourist,Chennai,2,39
India,Work,Mumbai,5,51
Canada,Student,Mumbai,4,15
USA,Work,Mumbai,11,29
Canada,Student,Chennai,2,51
Canada,Work,Delhi,3,27
USA,Work,Chennai,7,22
USA,Tourist,Chennai,8,19
USA,Student,Delhi,12,74
USA,Student,Chennai,6,87
USA,Tourist,Delhi,11,15
Canada,Tourist,Chennai,5,50
USA,Tourist,Delhi,1,49
India,Tourist,Mumbai,8,80
UK,Student,Chennai,3,77
USA,Student,Chennai,6,37
USA,Work,Chennai,3,23
Canada,Work,Chennai,7,48
USA,Tourist,Mumbai,7,60
USA,Tourist,Chennai,12,18
USA,Tourist,Mumbai,9,44
Canada,Work,Mumbai,5,89
USA,Work,Mumbai,8,86
UK,Work,Mumbai,10,17
Canada,Work,Delhi,10,28
UK,Work,Delhi,8,74
Canada,Work,Chennai,1,59
USA,Work,Delhi,12,48
UK,Tourist,Delhi,5,59
Canada,Tourist,Chennai,3,75
India,Tourist,Chennai,1,30
USA,Tourist,Chennai,4,80
Canada,Work,Delhi,8,54
India,Student,Delhi,3,31
Canada,Work,Chennai,10,48
India,Student,Mumbai,2,30
USA,Tourist,Chennai,11,74
UK,Work,Mumbai,9,80
India,Tourist,Mumbai,10,80
Canada,Work,Chennai,5,27
USA,Tourist,Chennai,7,70
India,Student,Chennai,11,45
Canada,Student,Delhi,11,48
Canada,Student,Mumbai,2,53
Canada,Work,Delhi,9,81
India,Student,Delhi,9,22
India,Work,Chennai,4,69
India,Student,Delhi,4,41
UK,Student,Chennai,6,67
India,Work,Mumbai,10,53
India,Work,Chennai,10,79
India,Student,Delhi,10,31
UK,Work,Delhi,6,44
India,Student,Chennai,12,67
Canada,Work,Chennai,1,27
India,Tourist,Delhi,9,35
Canada,Tourist,Mumbai,2,33
Canada,Tourist,Mumbai,5,67
Canada,Tourist,Chennai,9,33
UK,Tourist,Mumbai,4,71
UK,Student,Delhi,11,39
UK,Tourist,Chennai,3,45
India,Tourist,Delhi,7,69
Canada,Tourist,Delhi,6,37
UK,Tourist,Mumbai,8,46
UK,Work,Chennai,3,76
India,Student,Chennai,5,88
UK,Tourist,Mumbai,10,24
India,Tourist,Delhi,4,86
USA,Tourist,Delhi,4,68
UK,Student,Delhi,4,66
USA,Work,Delhi,10,34
India,Student,Chennai,8,46
Canada,Work,Chennai,6,28
UK,Tourist,Mumbai,3,64
India,Tourist,Mumbai,10,42
Canada,Student,Chennai,5,67
Canada,Student,Chennai,6,38
USA,Work,Delhi,5,36
India,Work,Delhi,6,44
Canada,Student,Mumbai,8,77
UK,Work,Chennai,7,18
UK,Student,Mumbai,5,73
USA,Work,Chennai,10,22
Canada,Student,Delhi,6,26
India,Student,Mumbai,4,45
UK,Student,Mumbai,12,48
Canada,Work,Chennai,9,89
Canada,Work,Delhi,4,63
USA,Work,Mumbai,1,71
UK,Student,Delhi,7,40
UK,Work,Mumbai,7,32
India,Work,Delhi,4,52
UK,Student,Chennai,3,64
India,Tourist,Mumbai,8,22
UK,Student,Mumbai,5,55
USA,Work,Delhi,10,20
UK,Student,Delhi,7,83
India,Tourist,Mumbai,4,58
India,Student,Chennai,4,78
USA,Work,Delhi,8,43
UK,Tourist,Delhi,8,42
UK,Work,Delhi,2,25
USA,Tourist,Mumbai,2,79
UK,Tourist,Mumbai,3,33
UK,Student,Mumbai,12,23
India,Student,Mumbai,12,41
UK,Work,Chennai,3,48
UK,Student,Chennai,1,58
USA,Student,Mumbai,3,82
USA,Tourist,Chennai,6,29
Canada,Student,Delhi,8,65
India,Tourist,Delhi,12,27
UK,Tourist,Delhi,10,63
UK,Tourist,Mumbai,6,84
Canada,Work,Delhi,5,70
UK,Work,Chennai,4,65
India,Work,Mumbai,3,51
Canada,Tourist,Chennai,4,31
India,Work,Delhi,7,72
Canada,Work,Delhi,1,43
Canada,Student,Delhi,7,47
USA,Work,Mumbai,1,74
India,Work,Chennai,2,69
UK,Tourist,Mumbai,4,24
UK,Tourist,Mumbai,1,61
India,Tourist,Delhi,11,37
UK,Tourist,Mumbai,12,35
UK,Tourist,Mumbai,11,27
India,Tourist,Delhi,11,47
Canada,Work,Mumbai,9,38
India,Tourist,Delhi,12,25
Canada,Tourist,Delhi,6,31
UK,Student,Delhi,1,82
UK,Work,Delhi,1,61
UK,Work,Mumbai,6,39
USA,Work,Delhi,4,87
Canada,Tourist,Delhi,4,35
USA,Tourist,Mumbai,11,26
USA,Tourist,Mumbai,6,51
India,Student,Chennai,12,56
USA,Tourist,Mumbai,11,31
India,Student,Mumbai,7,62
India,Work,Chennai,9,42
USA,Tourist,Mumbai,10,55
Canada,Student,Mumbai,5,61
Canada,Student,Mumbai,9,32
Canada,Tourist,Mumbai,4,85
Canada,Work,Chennai,10,27
Canada,Work,Mumbai,2,27
USA,Work,Mumbai,3,45
USA,Student,Chennai,11,16
