application_id,submission_date,decision_date,applicant_country,visa_type,processing_office,submission_month,submission_year,season,processing_time_days,submission_dayofweek,is_peak_month,quarter,target_days
VISA-0000001,1623456000000000000,2021-07-22,China,Unknown,Singapore,6,2021,Summer,40,5,1,Q2,40
VISA-0000002,1731456000000000000,2024-12-22,Nigeria,Tourist,Unknown,11,2024,Autumn,39,2,0,Q4,39
VISA-0000003,1712620800000000000,2024-05-12,Mexico,Dependent,Singapore,4,2024,Spring,33,1,0,Q2,33
VISA-0000004,1678579200000000000,2023-05-19,France,Tourist,Chennai,3,2023,Spring,68,6,0,Q1,68
VISA-0000005,1677715200000000000,2023-04-06,Australia,Student,Sydney,3,2023,Spring,35,3,0,Q1,35
VISA-0000006,1744761600000000000,2025-06-06,India,Student,Dubai,4,2025,Spring,51,2,0,Q2,51
VISA-0000007,1622937600000000000,2021-07-16,Bangladesh,Tourist,London,6,2021,Summer,40,6,1,Q2,40
VISA-0000008,1719360000000000000,2024-08-09,Bangladesh,Tourist,Johannesburg,6,2024,Summer,44,2,1,Q2,44
VISA-0000009,1641168000000000000,2022-02-05,Nigeria,Transit,Sydney,1,2022,Winter,33,0,0,Q1,33
VISA-0000010,1624233600000000000,2021-08-22,Philippines,Dependent,Dubai,6,2021,Summer,62,0,1,Q2,62
VISA-0000011,1692403200000000000,2023-09-28,France,Dependent,Chennai,8,2023,Summer,40,5,1,Q3,40
VISA-0000012,1763251200000000000,2025-12-27,Nigeria,Tourist,Ottawa,11,2025,Autumn,41,6,0,Q4,41
VISA-0000013,1725408000000000000,2024-10-02,India,Tourist,Dubai,9,2024,Autumn,28,2,0,Q3,28
VISA-0000014,1729468800000000000,2024-12-08,Nigeria,Student,Ottawa,10,2024,Autumn,48,0,0,Q4,48
VISA-0000015,1722556800000000000,2024-09-25,Mexico,Student,Paris,8,2024,Summer,54,4,1,Q3,54
VISA-0000016,1733356800000000000,2025-01-23,Nigeria,Tourist,Mumbai,12,2024,Winter,49,3,1,Q4,49
VISA-0000017,1690329600000000000,2023-10-28,Mexico,Business,Mumbai,7,2023,Summer,94,2,1,Q3,94
VISA-0000018,1629590400000000000,2021-09-20,Canada,Transit,London,8,2021,Summer,29,6,1,Q3,29
VISA-0000019,1741824000000000000,2025-05-04,Kenya,Student,London,3,2025,Spring,52,3,0,Q1,52
VISA-0000020,1680393600000000000,2023-05-14,China,Student,Paris,4,2023,Spring,42,6,0,Q2,42
VISA-0000021,1688342400000000000,2023-08-21,UK,Student,Singapore,7,2023,Summer,49,0,1,Q3,49
VISA-0000022,1667865600000000000,2022-12-10,Germany,Tourist,Sydney,11,2022,Autumn,32,1,0,Q4,32
VISA-0000023,1638230400000000000,2022-01-14,Bangladesh,Tourist,Sydney,11,2021,Autumn,45,1,0,Q4,45
VISA-0000024,1755561600000000000,2025-10-07,Australia,Student,London,8,2025,Summer,49,1,1,Q3,49
VISA-0000025,1732665600000000000,2025-01-14,India,Student,Sydney,11,2024,Autumn,48,2,0,Q4,48
VISA-0000026,1710979200000000000,2024-05-04,Brazil,Student,Unknown,3,2024,Spring,44,3,0,Q1,44
VISA-0000027,1672876800000000000,2023-02-19,Canada,Dependent,Berlin,1,2023,Winter,45,3,0,Q1,45
VISA-0000028,1739145600000000000,2025-04-03,Bangladesh,Tourist,Johannesburg,2,2025,Winter,52,0,0,Q1,52
VISA-0000029,1695427200000000000,2023-11-11,Bangladesh,Tourist,Dubai,9,2023,Autumn,49,5,0,Q3,49
VISA-0000030,1679356800000000000,2023-04-30,Australia,Tourist,London,3,2023,Spring,40,1,0,Q1,40
VISA-0000031,1680480000000000000,2023-06-07,Nigeria,Tourist,New Delhi,4,2023,Spring,65,0,0,Q2,65
VISA-0000032,1645228800000000000,2022-04-19,Mexico,Work,Berlin,2,2022,Winter,59,5,0,Q1,59
VISA-0000033,1623974400000000000,2021-07-30,Australia,Business,Paris,6,2021,Summer,42,4,1,Q2,42
VISA-0000034,1696896000000000000,2023-12-06,UK,Dependent,Dubai,10,2023,Autumn,57,1,0,Q4,57
VISA-0000035,1749427200000000000,2025-08-12,Germany,Work,Johannesburg,6,2025,Summer,64,0,1,Q2,64
VISA-0000036,1619481600000000000,2021-06-20,Philippines,Student,London,4,2021,Spring,54,1,0,Q2,54
VISA-0000037,1744761600000000000,2025-05-18,Philippines,Tourist,New Delhi,4,2025,Spring,32,2,0,Q2,32
VISA-0000038,1739923200000000000,2025-04-08,Nigeria,Student,Dubai,2,2025,Winter,48,2,0,Q1,48
VISA-0000039,1653091200000000000,2022-06-20,Germany,Tourist,Mumbai,5,2022,Spring,30,5,0,Q2,30
VISA-0000040,1708992000000000000,2024-04-19,Canada,Dependent,New Delhi,2,2024,Winter,52,1,0,Q1,52
VISA-0000041,1635465600000000000,2021-12-20,Kenya,Student,Berlin,10,2021,Autumn,52,4,0,Q4,52
VISA-0000042,1728950400000000000,2024-11-10,Canada,Tourist,Ottawa,10,2024,Autumn,26,1,0,Q4,26
VISA-0000043,1719878400000000000,2024-08-06,Philippines,Tourist,Dubai,7,2024,Summer,35,1,1,Q3,35
VISA-0000044,1665360000000000000,2022-11-13,Brazil,Tourist,Paris,10,2022,Autumn,34,0,0,Q4,34
VISA-0000045,1620086400000000000,2021-06-22,Bangladesh,Dependent,Ottawa,5,2021,Spring,49,1,0,Q2,49
VISA-0000046,1762473600000000000,2025-12-04,Unknown,Tourist,Dubai,11,2025,Autumn,27,4,0,Q4,27
VISA-0000047,1679702400000000000,2023-04-19,Australia,Tourist,Sydney,3,2023,Spring,25,5,0,Q1,25
VISA-0000048,1750204800000000000,2025-07-14,France,Tourist,Dubai,6,2025,Summer,26,2,1,Q2,26
VISA-0000049,1716336000000000000,2024-06-18,Mexico,Business,Berlin,5,2024,Spring,27,2,0,Q2,27
VISA-0000050,1732147200000000000,2025-01-08,Canada,Student,Ottawa,11,2024,Autumn,48,3,0,Q4,48
VISA-0000051,1729209600000000000,2024-12-03,Australia,Work,Sydney,10,2024,Autumn,46,4,0,Q4,46
VISA-0000052,1640131200000000000,2022-03-10,Philippines,Student,Dubai,12,2021,Winter,78,2,1,Q4,78
VISA-0000053,1682985600000000000,2023-06-15,China,Tourist,Mumbai,5,2023,Spring,44,1,0,Q2,44
VISA-0000054,1687910400000000000,2023-08-12,France,Dependent,Chennai,6,2023,Summer,45,2,1,Q2,45
VISA-0000055,1616284800000000000,2021-05-01,UK,Tourist,New Delhi,3,2021,Spring,41,6,0,Q1,41
VISA-0000056,1695600000000000000,2023-10-23,India,Tourist,Chennai,9,2023,Autumn,28,0,0,Q3,28
VISA-0000057,1633737600000000000,2021-11-30,Germany,Work,Ottawa,10,2021,Autumn,52,5,0,Q4,52
VISA-0000058,1726617600000000000,2024-10-25,Bangladesh,Tourist,Johannesburg,9,2024,Autumn,37,2,0,Q3,37
VISA-0000059,1717113600000000000,2024-07-05,Bangladesh,Tourist,Johannesburg,5,2024,Spring,35,4,0,Q2,35
VISA-0000060,1754870400000000000,2025-09-19,Australia,Business,Paris,8,2025,Summer,39,0,1,Q3,39
VISA-0000061,1726876800000000000,2024-11-14,Philippines,Student,Dubai,9,2024,Autumn,54,5,0,Q3,54
VISA-0000062,1667260800000000000,2022-11-30,Philippines,Tourist,Chennai,11,2022,Autumn,29,1,0,Q4,29
VISA-0000063,1761955200000000000,2025-12-07,Bangladesh,Tourist,London,11,2025,Autumn,36,5,0,Q4,36
VISA-0000064,1674172800000000000,2023-02-27,Canada,Business,Paris,1,2023,Winter,38,4,0,Q1,38
VISA-0000065,1660780800000000000,2022-09-29,Canada,Tourist,Singapore,8,2022,Summer,42,3,1,Q3,42
VISA-0000066,1752192000000000000,2025-08-15,France,Tourist,Johannesburg,7,2025,Summer,35,4,1,Q3,35
VISA-0000067,1667865600000000000,2023-01-04,Mexico,Work,Ottawa,11,2022,Autumn,57,1,0,Q4,57
VISA-0000068,1621468800000000000,2021-07-26,Pakistan,Work,Sydney,5,2021,Spring,67,3,0,Q2,67
VISA-0000069,1683417600000000000,2023-06-04,Mexico,Transit,Sydney,5,2023,Spring,28,6,0,Q2,28
VISA-0000070,1734912000000000000,2025-03-03,Mexico,Student,New Delhi,12,2024,Winter,70,0,1,Q4,70
VISA-0000071,1639267200000000000,2022-02-10,Bangladesh,Tourist,Mumbai,12,2021,Winter,60,6,1,Q4,60
VISA-0000072,1682380800000000000,2023-06-10,France,Student,New Delhi,4,2023,Spring,46,1,0,Q2,46
VISA-0000073,1629936000000000000,2021-11-08,Philippines,Work,Paris,8,2021,Summer,74,3,1,Q3,74
