case_status,application_date,decision_date,processing_office,applicant_country,applicant_age,education_level,job_title,occupation_category,prevailing_wage,wage_category,full_time_position,processing_time,season
C,2022-08-05,2022-08-21,NEBRASKA SERVICE CENTER,INDIA,34.0,BACHELOR'S,NEPHROLOGIST,ENGINEERING,187200.0,HIGH,Y,16,Summer
C,2022-07-09,2022-08-01,VERMONT SERVICE CENTER,PHILIPPINES,28.0,MASTER'S,POST DOCTORAL FELLOW,IT,39957.0,LOW,Y,23,Summer
C,2022-09-01,2022-10-11,VERMONT SERVICE CENTER,INDIA,29.0,BACHELOR'S,OPERATION ANALYST,FINANCE,59966.0,LOW,Y,40,Fall
C,2022-09-17,2022-10-20,NEBRASKA SERVICE CENTER,CHINA,33.0,MASTER'S,SR. INDUSTRIAL ENGINEER,IT,78832.0,MEDIUM,Y,33,Fall
C,2022-12-08,2022-12-18,CALIFORNIA SERVICE CENTER,CHINA,24.0,BACHELOR'S,HEMATOLOGIST/ONCOLOGIST,IT,169645.0,HIGH,N,10,Winter
C,2022-03-15,2022-05-09,POTOMAC SERVICE CENTER,PHILIPPINES,39.0,BACHELOR'S,FAMILY MEDICINE PHYSICIAN,IT,131581.0,HIGH,N,55,Spring
C,2022-01-20,2022-03-20,CALIFORNIA SERVICE CENTER,INDIA,52.0,MASTER'S,PEDIATRICIAN,IT,187200.0,HIGH,N,59,Winter
C,2022-05-31,2022-07-22,NEBRASKA SERVICE CENTER,INDIA,33.0,MASTER'S,INSTRUCTOR OF BUSINESS ACCOUNTING,OTHER,45010.0,LOW,N,52,Spring
C,2022-12-03,2023-01-13,NEBRASKA SERVICE CENTER,INDIA,41.0,BACHELOR'S,PEDIATRICIAN,MEDICAL,166982.0,HIGH,N,41,Winter
C,2022-08-25,2022-10-05,POTOMAC SERVICE CENTER,CHINA,30.0,BACHELOR'S,HOSPITALIST (INTERNIST),IT,41725.0,LOW,Y,41,Summer
C,2022-08-02,2022-09-24,TEXAS SERVICE CENTER,CHINA,57.0,MASTER'S,PEDIATRICIAN,IT,187200.0,HIGH,Y,53,Summer
CW,2022-11-29,2022-12-27,CALIFORNIA SERVICE CENTER,INDIA,24.0,MASTER'S,NEPHROLOGIST,FINANCE,187199.0,HIGH,Y,28,Fall
C,2022-04-24,2022-05-25,VERMONT SERVICE CENTER,INDIA,44.0,BACHELOR'S,PODIATRIST,IT,54330.0,LOW,Y,31,Spring
CW,2022-01-03,2022-02-16,TEXAS SERVICE CENTER,PHILIPPINES,32.0,BACHELOR'S,INTERVENTIONAL CARDIOLOGIST,IT,326105.0,HIGH,Y,44,Winter
C,2022-10-06,2022-11-07,TEXAS SERVICE CENTER,PHILIPPINES,22.0,MASTER'S,PHARMACY MANAGER,FINANCE,120349.0,HIGH,Y,32,Fall
C,2022-06-09,2022-07-03,POTOMAC SERVICE CENTER,INDIA,50.0,MASTER'S,PHYSICAL THERAPIST,IT,28.66,LOW,N,24,Summer
C,2022-08-31,2022-09-23,VERMONT SERVICE CENTER,INDIA,43.0,MASTER'S,TECHNICAL DESIGN PROGRAM INSTRUCTOR,IT,75277.0,MEDIUM,Y,23,Summer
CW,2022-02-01,2022-02-15,NEBRASKA SERVICE CENTER,INDIA,42.0,BACHELOR'S,RESEARCH ASSOCIATE,IT,29078.0,LOW,Y,14,Winter
C,2022-05-22,2022-06-14,CALIFORNIA SERVICE CENTER,INDIA,41.0,MASTER'S,PHYSICAL THERAPIST,IT,32.02,LOW,Y,23,Spring
C,2022-01-03,2022-01-17,NEBRASKA SERVICE CENTER,SOUTH KOREA,34.0,BACHELOR'S,SOFTWARE DEVELOPER,ENGINEERING,48901.0,LOW,Y,14,Winter
D,2022-10-29,2022-11-15,POTOMAC SERVICE CENTER,INDIA,30.0,MASTER'S,ASSISTANT PROFESSOR OF NURSING,MEDICAL,60307.0,MEDIUM,Y,17,Fall
C,2022-12-24,2023-01-18,POTOMAC SERVICE CENTER,INDIA,28.0,BACHELOR'S,PHYSICAL THERAPIST,FINANCE,66602.0,MEDIUM,Y,25,Winter
C,2022-09-07,2022-11-03,POTOMAC SERVICE CENTER,INDIA,49.0,BACHELOR'S,CASE MANAGER,IT,29.21,LOW,N,57,Fall
C,2022-05-21,2022-07-03,TEXAS SERVICE CENTER,INDIA,26.0,MASTER'S,PHYSICAL THERAPIST,ENGINEERING,32.02,LOW,N,43,Spring
C,2022-12-02,2022-12-20,NEBRASKA SERVICE CENTER,INDIA,36.0,MASTER'S,FINANCE MANAGER,IT,85800.0,MEDIUM,Y,18,Winter
C,2022-02-27,2022-04-10,CALIFORNIA SERVICE CENTER,CHINA,58.0,BACHELOR'S,ASSISTANT PROFESSOR (PHARMACEUTICAL SCIENCES),FINANCE,40730.0,LOW,Y,42,Winter
C,2022-10-06,2022-10-26,VERMONT SERVICE CENTER,INDIA,52.0,MASTER'S,SENIOR APPLICATION DEVELOPER,ENGINEERING,70907.0,MEDIUM,Y,20,Fall
D,2022-09-06,2022-09-17,POTOMAC SERVICE CENTER,MEXICO,54.0,MASTER'S,ESL INSTRUCTIOR,IT,24340.0,LOW,Y,11,Fall
C,2022-08-10,2022-09-06,POTOMAC SERVICE CENTER,CHINA,30.0,MASTER'S,ACCOUNTANT,IT,24.92,LOW,Y,27,Summer
CW,2022-06-20,2022-07-28,TEXAS SERVICE CENTER,INDIA,22.0,BACHELOR'S,ACCOUNTANT,MEDICAL,24.92,LOW,Y,38,Summer
C,2022-12-15,2023-01-08,POTOMAC SERVICE CENTER,INDIA,42.0,MASTER'S,QA TESTER,IT,24.64,LOW,Y,24,Winter
C,2022-09-07,2022-09-25,TEXAS SERVICE CENTER,CHINA,37.0,MASTER'S,DENTIST,IT,56.02,LOW,N,18,Fall
C,2022-12-30,2023-01-16,VERMONT SERVICE CENTER,INDIA,53.0,BACHELOR'S,PHARMACY MANAGER,IT,44.55,LOW,Y,17,Winter
C,2022-03-18,2022-05-10,CALIFORNIA SERVICE CENTER,INDIA,23.0,MASTER'S,PHYSICAL THERAPIST,IT,66602.0,MEDIUM,Y,53,Spring
C,2022-03-14,2022-04-12,POTOMAC SERVICE CENTER,INDIA,41.0,MASTER'S,ASSISTANT PROFESSOR OF NURSING,IT,60307.0,MEDIUM,Y,29,Spring
C,2022-10-27,2022-12-07,CALIFORNIA SERVICE CENTER,CANADA,24.0,BACHELOR'S,ASSISTANT ATHLETIC TRAINER,ENGINEERING,28930.0,LOW,Y,41,Fall
W,2022-05-22,2022-06-03,VERMONT SERVICE CENTER,CHINA,37.0,MASTER'S,PHYSICAL THERAPIST,IT,32.02,LOW,Y,12,Spring
CW,2022-11-21,2023-01-12,POTOMAC SERVICE CENTER,INDIA,44.0,BACHELOR'S,SENIOR RESEARCH ASSOCIATE/ SCIENTIST,IT,38875.0,LOW,Y,52,Fall
