applicant_age,full_time_position,processing_time,wage_category_encoded,education_level_encoded,processing_office_NEBRASKA SERVICE CENTER,processing_office_POTOMAC SERVICE CENTER,processing_office_TEXAS SERVICE CENTER,processing_office_VERMONT SERVICE CENTER,applicant_country_CHINA,applicant_country_INDIA,applicant_country_MEXICO,applicant_country_PHILIPPINES,applicant_country_SOUTH KOREA,case_status_CW,case_status_D,case_status_W,season_Spring,season_Summer,season_Winter,occupation_category_ENGINEERING,occupation_category_FINANCE,occupation_category_IT,occupation_category_MEDICAL,occupation_category_OTHER
34.0,1,16,2,1,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
28.0,1,23,0,2,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
29.0,1,40,0,1,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
33.0,1,33,1,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
24.0,0,10,2,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
39.0,0,55,2,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
52.0,0,59,2,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
33.0,0,52,0,2,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
41.0,0,41,2,1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
30.0,1,41,0,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
57.0,1,53,2,2,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
24.0,1,28,2,2,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
44.0,1,31,0,1,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
32.0,1,44,2,1,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False
22.0,1,32,2,2,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
50.0,0,24,0,2,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
43.0,1,23,1,2,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
42.0,1,14,0,1,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False
41.0,1,23,0,2,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
34.0,1,14,0,1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False
30.0,1,17,1,2,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
28.0,1,25,1,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
49.0,0,57,0,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
26.0,0,43,0,2,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
36.0,1,18,1,2,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
58.0,1,42,0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
52.0,1,20,1,2,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
54.0,1,11,0,2,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
30.0,1,27,0,2,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
22.0,1,38,0,1,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False
42.0,1,24,0,2,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
37.0,0,18,0,2,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
53.0,1,17,0,1,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
23.0,1,53,1,2,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
41.0,1,29,1,2,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
24.0,1,41,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
37.0,1,12,0,2,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
44.0,1,52,0,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
46.0,1,51,0,2,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False
44.0,1,42,2,3,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
52.0,1,14,0,2,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
41.0,0,41,0,2,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
40.0,1,35,0,2,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False
26.0,1,34,1,2,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
45.0,1,21,0,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
56.0,0,31,1,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
41.0,1,12,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
41.0,1,47,1,2,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
38.0,1,26,0,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
55.0,1,20,0,2,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
49.0,1,19,2,2,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
30.0,0,40,0,3,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
36.0,0,43,0,2,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
45.0,1,31,2,1,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
54.0,1,47,2,1,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
