case_status,application_date,decision_date,processing_office,applicant_country,applicant_age,education_level,job_title,occupation_category,prevailing_wage,wage_category,full_time_position
C,05-08-2022,21-08-2022,NEBRASKA SERVICE CENTER,INDIA,34,BACHELOR'S,NEPHROLOGIST,ENGINEERING,187200,HIGH,Y
C,09-07-2022,01-08-2022,VERMONT SERVICE CENTER,PHILIPPINES,28,MASTER'S,POST DOCTORAL FELLOW,IT,39957,LOW,Y
C,01-09-2022,11-10-2022,VERMONT SERVICE CENTER,INDIA,29,BACHELOR'S,OPERATION ANALYST,FINANCE,59966,LOW,Y
C,17-09-2022,20-10-2022,NEBRASKA SERVICE CENTER,CHINA,33,nan,SR. INDUSTRIAL ENGINEER,IT,78832,MEDIUM,Y
C,08-12-2022,18-12-2022,CALIFORNIA SERVICE CENTER,CHINA,24,BACHELOR'S,HEMATOLOGIST/ONCOLOGIST,IT,169645,HIGH,N
C,15-03-2022,09-05-2022,POTOMAC SERVICE CENTER,PHILIPPINES,39,BACHELOR'S,FAMILY MEDICINE PHYSICIAN,IT,131581,HIGH,N
C,20-01-2022,20-03-2022,CALIFORNIA SERVICE CENTER,INDIA,52,MASTER'S,PEDIATRICIAN,IT,187200,HIGH,N
C,31-05-2022,22-07-2022,NEBRASKA SERVICE CENTER,INDIA,33,MASTER'S,INSTRUCTOR OF BUSINESS ACCOUNTING,OTHER,45010,LOW,N
C,03-12-2022,13-01-2023,NEBRASKA SERVICE CENTER,INDIA,,BACHELOR'S,PEDIATRICIAN,MEDICAL,166982,HIGH,N
C,25-08-2022,05-10-2022,POTOMAC SERVICE CENTER,CHINA,30,BACHELOR'S,HOSPITALIST (INTERNIST),IT,41725,LOW,Y
C,02-08-2022,24-09-2022,TEXAS SERVICE CENTER,CHINA,57,MASTER'S,PEDIATRICIAN,IT,187200,HIGH,Y
CW,29-11-2022,27-12-2022,CALIFORNIA SERVICE CENTER,INDIA,24,MASTER'S,NEPHROLOGIST,FINANCE,187199,HIGH,Y
C,,,CALIFORNIA SERVICE CENTER,CHINA,53,MASTER'S,HOSPITALIST (INTERNIST),OTHER,41725,LOW,Y
C,24-04-2022,25-05-2022,VERMONT SERVICE CENTER,INDIA,44,BACHELOR'S,PODIATRIST,IT,54330,LOW,Y
CW,03-01-2022,16-02-2022,TEXAS SERVICE CENTER,PHILIPPINES,32,BACHELOR'S,INTERVENTIONAL CARDIOLOGIST,IT,326105,HIGH,Y
C,06-10-2022,07-11-2022,TEXAS SERVICE CENTER,PHILIPPINES,22,MASTER'S,PHARMACY MANAGER,FINANCE,120349,HIGH,Y
C,09-06-2022,03-07-2022,nan,INDIA,50,MASTER'S,PHYSICAL THERAPIST,IT,28.66,LOW,N
C,31-08-2022,23-09-2022,VERMONT SERVICE CENTER,INDIA,43,MASTER'S,TECHNICAL DESIGN PROGRAM INSTRUCTOR,IT,75277,MEDIUM,Y
CW,01-02-2022,15-02-2022,NEBRASKA SERVICE CENTER,INDIA,42,BACHELOR'S,RESEARCH ASSOCIATE,IT,29078,LOW,Y
C,22-05-2022,14-06-2022,CALIFORNIA SERVICE CENTER,INDIA,,MASTER'S,PHYSICAL THERAPIST,IT,32.02,LOW,Y
C,03-01-2022,17-01-2022,NEBRASKA SERVICE CENTER,SOUTH KOREA,34,BACHELOR'S,SOFTWARE DEVELOPER,ENGINEERING,48901,LOW,Y
